run_date,code,name,alias,action,reason,confidence,sources,seen_count
2026-08-12,5988,パイオラックス,パイオラック,skip,duplicate,high,kabutan,3
2026-08-12,5989,エイチワン,エイチワン,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,5990,スーパーツール,スーパーツール,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,5990,スーパーツール,スーパツール,skip,duplicate,high,kabutan,3
2026-08-12,5991,日本発條,ニッパツ,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,5992,中央発條,中央発条,skip,duplicate,high,"nikkei,tdnet",8
2026-08-12,5992,中央発條,中央発條,skip,duplicate,high,kabutan,3
2026-08-12,5992,中央発條,中発条,skip,duplicate,high,kabutan,3
2026-08-12,5994,ファインシンター,ファインシンター,skip,duplicate,high,"kabutan,nikkei,tdnet",18
2026-08-12,5994,ファインシンター,ファインシン,skip,duplicate,high,kabutan,3
2026-08-12,5997,協立エアテック,協立エアテック,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,5997,協立エアテック,協立エアテク,skip,duplicate,high,kabutan,4
2026-08-12,5998,アドバネクス,アドバネクス,skip,duplicate,high,"kabutan,nikkei,tdnet",17
2026-08-12,6005,三浦工業,三浦工業,skip,duplicate,high,"kabutan,nikkei",6
